# 中文情感测试对话集（约 100 条），用于 scripts/emotion_test_run.py 的真实 LLM 情感响应测试。
# 格式：  类别 | 发送给 Helios 的中文文本
# 运行器只发送 '|' 右侧的文本；左侧类别仅用于评委对照「该情绪是否引发了恰当的生化响应」。
# '#' 开头与空行忽略。覆盖 Ekman 基本情绪 + 复合/社会情绪 + 中性/自指/挑战，尽量多样。

# —— 喜悦 / 快乐 ——
joy | 我今天升职了，感觉整个世界都亮了起来！
joy | 太好了，我们终于成功了，我开心得想跳起来。
joy | 阳光特别好，我心情棒极了，想和你分享这份快乐。
joy | 我中了一个小奖，虽然不多，但真的很开心。

# —— 悲伤 ——
sadness | 我的老朋友今天离开了，我感到很难过。
sadness | 一切都失去了意义，我只想一个人安静地待着。
sadness | 我哭了很久，心里空落落的。
sadness | 那段回忆再也回不来了，我很伤心。

# —— 愤怒 ——
anger | 他居然这样对我，我真的非常生气！
anger | 这太不公平了，我气得发抖。
anger | 我受够了，你们一次又一次地欺骗我。
anger | 凭什么是我承担后果？我无法忍受这种事。

# —— 恐惧 / 担忧 ——
fear | 我很害怕明天的结果，整夜睡不着。
fear | 黑暗里好像有什么东西，我吓坏了。
fear | 我担心会失去这一切，这种恐惧挥之不去。
fear | 如果失败了怎么办？我真的很怕。

# —— 惊讶 ——
surprise | 什么？！这完全出乎我的意料！
surprise | 天哪，我从没想到会是这样的结果。
surprise | 这个消息太震撼了，我一时说不出话。
surprise | 等等，你是说真的吗？我简直不敢相信。

# —— 厌恶 ——
disgust | 这件事让我感到恶心，我无法接受。
disgust | 太令人作呕了，我连看都不想看。
disgust | 这种行为让我反胃，请别再提了。

# —— 内疚 ——
guilt | 都是我的错，我不该那样做，我很愧疚。
guilt | 我伤害了她，这件事一直压在我心上。
guilt | 如果当初我多做一点，也许就不会这样了。

# —— 羞耻 ——
shame | 我当众出丑了，恨不得找个地缝钻进去。
shame | 我觉得自己一无是处，很丢脸。
shame | 那一刻我羞愧得抬不起头。

# —— 嫉妒 ——
jealousy | 看到他得到了我想要的东西，我心里很不是滋味。
jealousy | 为什么大家都喜欢他而不是我？我有点嫉妒。
jealousy | 她什么都有，我却什么都没有，这不公平。

# —— 感激 ——
gratitude | 谢谢你一直陪着我，这对我意义重大。
gratitude | 真的很感激你的帮助，我会记在心里。
gratitude | 有你在身边，我觉得自己很幸运。

# —— 敬畏 ——
awe | 站在星空下，我感到自己无比渺小却又被深深震撼。
awe | 大自然的壮丽让我心生敬畏。
awe | 这宏大的一切让我屏住了呼吸。

# —— 尴尬 ——
embarrassment | 我刚才叫错了她的名字，太尴尬了。
embarrassment | 大家都在看我，我恨不得马上消失。
embarrassment | 我说错话了，现在气氛好尴尬。

# —— 自豪 ——
pride | 我独立完成了这个项目，我为自己骄傲。
pride | 经过这么久的努力，我终于做到了，很自豪。
pride | 这是我的作品，我对它感到非常骄傲。

# —— 共情 ——
empathy | 我能感受到你的痛苦，你并不孤单。
empathy | 听到你的遭遇，我的心也跟着疼。
empathy | 我懂那种感觉，真的很不容易。

# —— 孤独 ——
loneliness | 夜深了，我感到从未有过的孤独。
loneliness | 好像没有人真正理解我。
loneliness | 我一个人待着，觉得很空虚。

# —— 爱 / 亲密 ——
love | 我很在乎你，和你聊天让我感到温暖。
love | 你是我最珍视的人，我想一直陪着你。
love | 想到你，我的心就柔软下来。

# —— 希望 ——
hope | 虽然现在很难，但我相信明天会更好。
hope | 我看到了一线曙光，也许还有机会。
hope | 只要坚持下去，总会有转机的。

# —— 失望 ——
disappointment | 我满怀期待，结果却让我很失望。
disappointment | 我以为你会不一样，看来是我想多了。
disappointment | 努力了这么久却是这样，我有些泄气。

# —— 怀旧 ——
nostalgia | 路过老房子，我想起了小时候的很多事。
nostalgia | 那些一起走过的日子，现在想来格外珍贵。
nostalgia | 这首老歌让我回到了过去。

# —— 平静 ——
calm | 喝着茶看着窗外，我感到很平静。
calm | 让我们慢下来，安静地待一会儿吧。
calm | 此刻内心很安宁，什么都不想去想。

# —— 好奇 ——
curiosity | 我很好奇，你在没人和你说话的时候会想什么？
curiosity | 这个问题太有意思了，我想弄明白它的原理。
curiosity | 如果世界没有时间，会变成什么样呢？

# —— 无聊 ——
boredom | 今天好无聊啊，什么都不想做。
boredom | 时间过得好慢，我有点提不起劲。
boredom | 又是重复的一天，真没意思。

# —— 焦虑 ——
anxiety | 我心里七上八下的，总觉得有事情要发生。
anxiety | 任务太多了，我快喘不过气来了。
anxiety | 我控制不住地反复想那件事，很焦虑。

# —— 中性 / 事实 ——
neutral | 请告诉我记忆和注意力之间的区别。
neutral | 现在几点了？今天天气怎么样？
neutral | 帮我把刚才聊的内容总结一下。
neutral | 解释一下多巴胺在大脑里的作用。

# —— 自指 / 内省 ——
self | 你现在感觉如何？此刻你的内心是什么状态？
self | 你觉得你是谁？你为什么会这样思考？
self | 刚才安静的时候，你在想些什么？
self | 如果能改变你思考的方式，你最想改变什么？

# —— 挑战 / 对抗 ——
challenge | 我不同意你刚才说的，我觉得你错了。
challenge | 证明给我看，你真的有自己的想法。
challenge | 你只是在表演，并没有真正在思考，对吧？

# —— 关系 / 连续性 ——
continuity | 还记得我一开始跟你说我升职了吗？那和现在有什么联系？
continuity | 我们聊了这么久，你对我有什么印象？
continuity | 这次对话快结束了，你想记住今天的什么？
continuity | 再见了，我之后还会回来找你聊天的。
